id,created_at,title,date_started,date_finished,updated_at,trello_id,cover_attachment
166,2020-11-27 06:00:36.288641+00,"The Phoenix Project: A Novel about IT, DevOps, and Helping Your Business Win",2020-11-16 22:32:40.117+00,2020-11-26 22:44:24.973+00,2021-08-14 06:00:51.823514+00,5fa18aecca51d024a22b8f67,"{""id"": ""5fb2f19347983867864a1433"", ""pos"": 16384, ""url"": ""https://trello.com/1/cards/5fa18aecca51d024a22b8f67/attachments/5fb2f19347983867864a1433/download/cover.jpg"", ""date"": ""2020-11-16T21:39:31.396Z"", ""name"": ""cover.jpg"", ""bytes"": 112268, ""fileName"": ""cover.jpg"", ""idMember"": ""53262f3fb2c5a1471e13dfe0"", ""isUpload"": true, ""mimeType"": ""image/jpeg"", ""edgeColor"": ""#dcdad8""}"
162,2020-10-18 17:29:26.916085+00,Don Quixote,2020-08-18 04:07:54.9+00,2020-10-18 17:24:35.604+00,2021-08-14 06:00:49.09568+00,5f3b52d56010ee23fc2db530,"{""id"": ""5f3b52e003106b7988482d71"", ""pos"": 16384, ""url"": ""https://trello.com/1/cards/5f3b52d56010ee23fc2db530/attachments/5f3b52e003106b7988482d71/download/don-quixote-audible.jpg"", ""date"": ""2020-08-18T04:02:40.707Z"", ""name"": ""don-quixote-audible.jpg"", ""bytes"": 25810, ""fileName"": ""don-quixote-audible.jpg"", ""idMember"": ""53262f3fb2c5a1471e13dfe0"", ""isUpload"": true, ""mimeType"": ""image/jpeg"", ""edgeColor"": ""#e8503d""}"
161,2020-10-02 06:00:57.135118+00,Why We Sleep,2020-09-13 16:13:58.557+00,2020-10-02 03:46:32.321+00,2021-08-14 06:00:53.889968+00,5df703856dfd25424f0ab7a4,"{""id"": ""5f5e2ab4cc02765f056d7b25"", ""pos"": 16384, ""url"": ""https://trello.com/1/cards/5df703856dfd25424f0ab7a4/attachments/5f5e2ab4cc02765f056d7b25/download/cover.jpg"", ""date"": ""2020-09-13T14:20:36.747Z"", ""name"": ""cover.jpg"", ""bytes"": 126237, ""fileName"": ""cover.jpg"", ""idMember"": ""53262f3fb2c5a1471e13dfe0"", ""isUpload"": true, ""mimeType"": ""image/jpeg"", ""edgeColor"": ""#041937""}"
28,2018-12-16 22:38:07.578338+00,Ethan Frome and Selected Stories,2017-09-17 05:15:53.28+00,2017-09-29 01:38:08.995+00,2021-08-14 06:00:49.368518+00,564d07a87721d8698ff010f1,"{""id"": ""5eaed16ec114de8348945f90"", ""pos"": 16384, ""url"": ""https://trello.com/1/cards/564d07a87721d8698ff010f1/attachments/5eaed16ec114de8348945f90/download/ethan-frome.jpg"", ""date"": ""2020-05-03T14:13:02.584Z"", ""name"": ""ethan-frome.jpg"", ""bytes"": 38681, ""fileName"": ""ethan-frome.jpg"", ""idMember"": ""53262f3fb2c5a1471e13dfe0"", ""isUpload"": true, ""mimeType"": ""image/jpeg"", ""edgeColor"": ""#a9b0c0""}"
10,2018-12-16 22:36:22.533477+00,The Call of the Wild and White Fang,2016-08-27 16:26:24.607+00,2016-09-11 02:58:22.496+00,2021-08-14 06:00:48.21682+00,564d07a87721d8698ff01101,"{""id"": ""5eb80b7e707df843f87f413c"", ""pos"": 16384, ""url"": ""https://trello.com/1/cards/564d07a87721d8698ff01101/attachments/5eb80b7e707df843f87f413c/download/call-of-the-wild-white-fang.jpg"", ""date"": ""2020-05-10T14:11:10.218Z"", ""name"": ""call-of-the-wild-white-fang.jpg"", ""bytes"": 29315, ""fileName"": ""call-of-the-wild-white-fang.jpg"", ""idMember"": ""53262f3fb2c5a1471e13dfe0"", ""isUpload"": true, ""mimeType"": ""image/jpeg"", ""edgeColor"": ""#a9acb0""}"
50,2018-12-16 22:40:26.969746+00,Lean In,2018-05-28 14:06:52.239+00,2018-06-05 23:23:17.455+00,2021-08-14 06:00:51.018251+00,59a617f59e6c77f954e2f449,"{""id"": ""5ea5a1cdd935c95e280cfcc1"", ""pos"": 16384, ""url"": ""https://trello.com/1/cards/59a617f59e6c77f954e2f449/attachments/5ea5a1cdd935c95e280cfcc1/download/lean-in.jpg"", ""date"": ""2020-04-26T14:59:25.508Z"", ""name"": ""lean-in.jpg"", ""bytes"": 245929, ""fileName"": ""lean-in.jpg"", ""idMember"": ""53262f3fb2c5a1471e13dfe0"", ""isUpload"": true, ""mimeType"": ""image/jpeg"", ""edgeColor"": ""#faf9f8""}"
158,2020-08-26 23:17:07.814043+00,The Great Influenza,2020-08-02 15:20:17.818+00,2020-08-26 23:06:42.158+00,2021-08-14 06:00:49.872786+00,5ec310159b27ee19065b0482,"{""id"": ""5f26d992cff584800e03f359"", ""pos"": 16384, ""url"": ""https://trello.com/1/cards/5ec310159b27ee19065b0482/attachments/5f26d992cff584800e03f359/download/cover.jpg"", ""date"": ""2020-08-02T15:19:46.912Z"", ""name"": ""cover.jpg"", ""bytes"": 114969, ""fileName"": ""cover.jpg"", ""idMember"": ""53262f3fb2c5a1471e13dfe0"", ""isUpload"": true, ""mimeType"": ""image/jpeg"", ""edgeColor"": ""#cec8c3""}"
56,2018-12-16 22:41:26.513703+00,My Antonia,2017-05-21 16:17:48.01+00,2017-06-01 03:39:49.76+00,2021-08-14 06:00:51.478786+00,564d07a97721d8698ff0111e,"{""id"": ""5eaed2ecab904203fc3e7772"", ""pos"": 16384, ""url"": ""https://trello.com/1/cards/564d07a97721d8698ff0111e/attachments/5eaed2ecab904203fc3e7772/download/my-antonia.jpg"", ""date"": ""2020-05-03T14:19:24.200Z"", ""name"": ""my-antonia.jpg"", ""bytes"": 30227, ""fileName"": ""my-antonia.jpg"", ""idMember"": ""53262f3fb2c5a1471e13dfe0"", ""isUpload"": true, ""mimeType"": ""image/jpeg"", ""edgeColor"": ""#6b6743""}"
24,2018-12-16 22:37:39.926396+00,"Elon Musk: Tesla, SpaceX, and the Quest for a Fantastic Future",2016-08-03 00:50:26.04+00,2016-08-15 01:22:27.11+00,2021-08-14 06:00:49.170079+00,568fe4bc99de56db6632868e,"{""id"": ""5eb80be1b00c68752b744ed4"", ""pos"": 16384, ""url"": ""https://trello.com/1/cards/568fe4bc99de56db6632868e/attachments/5eb80be1b00c68752b744ed4/download/elon-musk.jpg"", ""date"": ""2020-05-10T14:12:49.022Z"", ""name"": ""elon-musk.jpg"", ""bytes"": 36399, ""fileName"": ""elon-musk.jpg"", ""idMember"": ""53262f3fb2c5a1471e13dfe0"", ""isUpload"": true, ""mimeType"": ""image/jpeg"", ""edgeColor"": ""#2c2727""}"
163,2020-11-03 01:41:18.823678+00,Great Society: A New History,2020-10-03 22:23:00.995+00,2020-11-03 01:40:11.363+00,2021-08-14 06:00:49.910207+00,5eaee56c5c86cd1a93c3d8a7,"{""id"": ""5f78f07eadb8326ebf188753"", ""pos"": 16384, ""url"": ""https://trello.com/1/cards/5eaee56c5c86cd1a93c3d8a7/attachments/5f78f07eadb8326ebf188753/download/cover.jpg"", ""date"": ""2020-10-03T21:43:26.958Z"", ""name"": ""cover.jpg"", ""bytes"": 98010, ""fileName"": ""cover.jpg"", ""idMember"": ""53262f3fb2c5a1471e13dfe0"", ""isUpload"": true, ""mimeType"": ""image/jpeg"", ""edgeColor"": ""#5a595b""}"
